繁體中文,简体中文,英文,註解
連結/讀入/讀出,链接/读入/读出,link/RI/RO,
鎖定,锁定,lock,
主要光碟,主要光盘,master disc,
混合模式光碟,混合模式光盘,mixed-mode CD,
Mode 1,Mode 1,mode 1,不翻譯
掛載,挂载,mount,出自 ic
正在掛載,正在挂载,mounting,
多重區段,多重区段,multi session,
多重區段,多重区段,multi-session,
多重區段,多重区段,multisession,
原生音訊,原生音频,native audio,
即時,真时,on the fly,
即時,真时,on-the-fly,
示波器,示波器,oscilloscope,
超量燒錄光碟,超量刻录光盘,overburn CD,不使用簡稱
超量寫錄,超量写录,overburn writing,
超量燒錄,超量刻录,overburn,
重疊音訊,重叠音频,overlap audio,
超量燒錄,超量刻录,oversize burning,
封包寫入,数据包写入,packet-writing,
填補區塊,填补列块,padding block,
分割區,分割区,partition,
路徑深度,路径深度,pathdepth,
路徑名稱,路径名称,pathname,
永久的,永久的,permanent,
持續的,持续的,persistent,
階段,阶段,phase,
後置間隙,后置间隙,post-gap,
後置間隙,后置间隙,postgap,
功率校正,功率校正,power calibration,
預先釋出版本,预先释出版本,pre release,
預先加強,预先加强,pre-emphasis,
前置間隙,前置间隙,pre-gap,與「後置」相對
前置主控,前置主控,pre-mastering,
預測,预测,prediction,
前置間隙,前置间隙,pregap,與「後置」相對
前置主控,前置主控,premastering,
預覽寫錄,预览写录,preview write,
優先等級,优先级,priority,
出版廠商,出版厂商,publisher,
快速抹除,快速抹除,quickly erase,
撫靜音訊,抚静音频,quiet audio,
未經處理資料,未经处理数据,raw data,
錄製的光碟,录制的光盘,recorded disc,
燒錄機,刻录机,recorder,
多餘音訊,多余音频,redundant audio,
重新初始化,重新初始化,reinitialize,
相對磁區,相对磁区,relative sector,
可靠性,可靠性,reliability,
剩餘時間,剩余时间,remaining time,
重排根目錄,重排根目录,reparenting,
機械的,机械的,robotic,
雜亂的,杂乱的,scrambled,
Seamless Link,Seamless Link,seamless Link,不翻譯
節段,节段,segment,
區段一次寫錄 (SAO),区段一次写录 (SAO),session at once,
區段名稱,区段名称,session name,
區段,区段,session,
區段一次寫錄 (SAO),区段一次写录 (SAO),session-at-once,
設定值,设置数值,settings,作為名詞使用
模擬,仿真,simulation,
封套背景,封套背景,sleeve background,
封套,封套,sleeve,
來源媒體,源媒体,source medium,
加速,加速,spin up,
標準編輯的,标准编辑的,standard compliant,
標準編輯,标准编辑,standard compliation,
起點軌段,起点轨段,start track,
子碼,子码,subcode,
Super Link,Super Link,super Link,
super Video CD,super Video CD,super Video CD,不翻譯
系統識別碼,系统标识符,system Identifier,
轉速計,转速计,tachometer,
目標媒體,目标媒体,target medium,
軌段一次寫錄 (TAO),轨段一次写录 (TAO),track at once,
軌段,轨段,track,
軌段一次寫錄 (TAO),轨段一次写录 (TAO),track-at-once,
軌段清單格式,轨段列表格式,tracklist format,
軌段編號,轨段编号,tracknumber,
軌段數量,轨段数量,tracks,
結尾,结尾,trailer,與 header 相對
托盤退出,托盘退出,tray out,
托盤,托盘,tray,
截斷,截断,truncate,
無限制的,无限制的,unlimited,
解除掛載,解除挂载,unmount,
正在解除掛載,正在解除挂载,unmounting,
可變位元率,可变比特率,variable bitrate,
查核,查核,verify,cdr
Video CD,Video CD,video CD,不翻譯
虛擬光碟,虚拟光盘,virtual CD,
卷輯描述,卷辑描述,volume Descriptor,
卷輯標籤,卷辑标签,volume Label,
卷輯名稱,卷辑名称,volume Name,
卷輯設定,卷辑设置,volume Set,
卷輯建立日期,卷辑创建时间,volume creation,
卷輯生效日期,卷辑生效日期,volume effective,
卷輯有效日期,卷辑生效日期,volume expiration,
卷輯修改日期,卷辑修改日期,volume modification,
卷輯,卷辑,volume,
核心圓孔寬度,核心圆孔宽度,width inner circle,
邊脊寬度,边脊宽度,width sides,
即時寫錄,即时写录,write on the fly,
寫錄,写录,write,燒錄和寫錄不同
艾莉斯藍,艾莉斯蓝,alice blue,
艾莉斯藍,艾莉斯蓝,aliceblue,
暗紅,暗红,alizarin Crimson,
古董白,古董白,antique White,
古董白,古董白,antiqueWhite,
青色,青色,aqua,
青綠,青绿,aquamarine,
亞美尼亞德藍,亚美尼亚德蓝,armenian Dram,
檀香色,檀香色,ash of Rose,
黎明黃,黎明黄,aurora yellow,
天藍白,天蓝白,azure,
米黃,米黄,beige,
孟加拉玫瑰紅,孟加拉玫瑰红,bengal Rose,
淡黃,淡黄,bisque,
黑色,黑色,black,
杏仁白,杏仁白,blanched Almond,
杏仁白,杏仁白,blanchedAlmond,
藍紫,蓝紫,blue violet,
藍色,蓝色,blue,
藍紫,蓝紫,blueviolet,
藍紫,蓝紫,bluish Purple,
藍綠,蓝绿,bluish green,
瓶綠,瓶绿,bottle green,
亮綠,亮绿,bright green,
淺蔥色,浅葱色,bright greenish blue,
鮮紅,鲜红,bright red,
鮮黃綠,鲜黄绿,bright yellow green,
鮮黃,鲜黄,bright yellow,
明黃,明黄,brilliant yellow,
茜草棕,茜草棕,brown Madder Alizarin,
褐色,褐色,brown,
金茶色,金茶色,brownish gold,
原木色,原木色,burly wood,
原木色,原木色,burlywood,
岱赭,岱赭,burnt Sienna,
焦赭,焦赭,burnt Umber,
樺色,桦色,burnt orange,
藏青,藏青,cadet blue,
藏青,藏青,cadetblue,
鎘綠,镉绿,cadmium green,
鎘紅,镉红,cadmium red,
深鎘黃,深镉黄,cadmium yellow Deep,
淺鎘黃,浅镉黄,cadmium yellow Pale,
灰黃,灰黄,camber Sand,
金絲雀色,金丝雀色,canary,
紅棕,红棕,cardinal red,
大紅,大红,carmne,
紅蘿蔔色,红萝卜色,carrot,
天藍,天蓝,cerulean blue,
蕁麻酒色,寻麻酒色,chartreuse green,
淡黃綠,淡黄绿,chartreuse,
櫻桃粉紅,樱桃粉红,cherry pink,
中國白,中国白,chinese White,
中國橘,中国橘,chinese orange,
巧克力色,巧克力色,chocolate,
鉻綠,铬绿,chrome green,
鉻橘,铬橘,chrome orange,
鉻黃,铬黄,chrome yellow,
肉桂色,肉桂色,cinnamon,
鈷藍,钴蓝,cobalt blue,
鈷綠,钴绿,cobalt green,
鈷紫羅蘭,钴紫罗兰,cobalt violet,
珊瑚紅,珊瑚红,coral,
晴柱草青,晴柱草青,corn Flower blue,
玉米穗黃,玉米穗黄,corn silk,
矢菊花藍,矢菊花蓝,cornflower blue,
矢菊花藍,矢菊花蓝,cornflowerblue,
玉米穗黃,玉米穗黄,cornsilk,
淡奶油色,淡奶油色,cream,
洋紅,洋红,crimson Lake,
大紅,大红,crimson,
朱鷺色,朱鹭色,cupid pink,
青色,青色,cyan,
青藍,青蓝,cyanine blue,
賽浦路斯綠,赛浦路斯绿,cyprus green,
深黃綠,深黄绿,dark Chartreuse,
深桃紅,深桃红,dark Fuchsia,
深灰,深灰,dark Gray,
深卡其色,深卡其色,dark Khaki,
深橄欖綠,深橄榄绿,dark Olive green,
深蘭花紫,深兰花紫,dark Orchid,
深紫,深紫,dark Purple,
深橙紅,深橙红,dark Salmon,
深海藻綠,深海藻绿,dark Sea green,
深青灰,深青灰,dark Slate Gray,
深青藍,深青蓝,dark Slate blue,
深藍綠,深蓝绿,dark Teal,
深粉藍,深粉蓝,dark Turquoise,
深藍,深蓝,dark blue,
深藍,深蓝,dark blue,
深青綠,深青绿,dark cyan,
深金黃,深金黄,dark goldenrod,
深綠,深绿,dark green,
深綠藍,深绿蓝,dark greenish blue,
深褐紫紅,深褐紫红,dark magenta,
深橙,深橙,dark orange,
深紅紫,深红紫,dark red Purple,
深紅,深红,dark red,
深紅褐,深红褐,dark redish brown,
深紫紅,深紫红,dark violet,
深黃,深黄,dark yellow,
深灰,深灰,darkGray,
深卡其色,深卡其色,darkKhaki,
深橄欖綠,深橄榄绿,darkOlivegreen,
深蘭花紫,深兰花紫,darkOrchid,
深橙紅,深橙红,darkSalmon,
深海藻綠,深海藻绿,darkSeagreen,
深青灰,深青灰,darkSlateGray,
深青藍,深青蓝,darkSlateblue,
深粉藍,深粉蓝,darkTurquoise,
深藍,深蓝,darkblue,
深青綠,深青绿,darkcyan,
深金黃,深金黄,darkgoldenrod,
深綠,深绿,darkgreen,
深洋紅,深洋红,darkmagenta,
深橙,深橙,darkorange,
深紅,深红,darkred,
深紫紅,深紫红,darkviolet,
德維灰,德维灰,davy's Gray,
深紫,深紫,deep Purple,
深天藍,深天蓝,deep Sky blue,
深藍紫,深蓝紫,deep blue Purple,
深藍綠,深蓝绿,deep blue green,
深藍,深蓝,deep blue,
深綠,深绿,deep green,
深粉紅,深粉红,deep pink,
深紅紫,深红紫,deep red Purple,
深紅,深红,deep red,
深紅橙,深红橙,deep redish orange,
深黃綠,深黄绿,deep yellow green,
深天藍,深天蓝,deepSkyblue,
深粉紅,深粉红,deeppink,
暗灰,暗灰,dim Gray,
暗灰,暗灰,dimgray,
寶藍,宝蓝,dodger blue,
寶藍,宝蓝,dodgerblue,
鴿羽色,鸽羽色,dove Gray,
沌綠,沌绿,dull green,
沌綠藍,沌绿蓝,dull greenish blue,
沌紅紫,沌红紫,dull red Purple,
蛋色,蛋色,egg,
磚紅,砖红,fire Brick,
磚紅,砖红,fireBrick,
花白,花白,floral White,
花白,花白,floralWhite,
森林綠,森林绿,forest green,
森林綠,森林绿,forestgreen,
法國紺青,法国绀青,french Ultramarine,
嫩竹綠,嫩竹绿,fresh Bamboo,
嫩草綠,嫩草绿,fresh green,
桃紅,桃红,fuchsia,
鎘橙,镉橙,gadmium orange,
鎘黃,镉黄,gadmium yellow,
亮灰,亮灰,gainsboro,
藤黃,藤黄,gamboge,
鮮紅,鲜红,geranium,
蒼白,苍白,ghost White,
蒼白,苍白,ghostWhite,
金色,金色,gold,
金黃,金黄,golden yellow,
金黃,金黄,goldenrod,
葡萄色,葡萄色,grape,
草綠,草绿,grass green,
灰色,灰色,gray,
老綠,老绿,grayish Olive green,
灰橄欖色,灰橄榄色,grayish Olive,
灰紫,灰紫,grayish Purple,
灰藍,灰蓝,grayish blue,
灰褐,灰褐,grayish brown,
灰綠,灰绿,grayish green,
梅灰,梅灰,grayish pink,
灰紅紫,灰红紫,grayish red Purple,
紅豆色,红豆色,grayish red,
灰藍紫,灰蓝紫,grayish violet,
灰黃,灰黄,grayish yellow,
土綠,土绿,green Earth,
金黃綠,金黄绿,green gold,
綠黃,绿黄,green yellow,
綠色,绿色,green,
綠藍,绿蓝,greenish blue,
綠黃,绿黄,greenyellow,
石榴紅,石榴红,grenadine,
雪茄褐,雪茄褐,havannah Lake,
蜜瓜白,蜜瓜白,honeydew,
深胡克綠,深胡克绿,hooker's green Dark,
淺胡克綠,浅胡克绿,hooker's green Light,
胡克綠,胡克绿,hooker's green,
暗粉紅,暗粉红,hot pink,
暗粉紅,暗粉红,hotpink,
冰藍,冰蓝,ice blue,
淡蔥色,淡葱色,ice green,
印地安紅,印地安红,indian red,
印地安紅,印地安红,indianred,
靛藍,靛蓝,indigo,
鮮藍,鲜蓝,intense blue,
深綠,深绿,intense green,
象牙黑,象牙黑,ivory black,
象牙白,象牙白,ivory,
玉石黑,玉石黑,jet black,
卡其色,卡其色,khaki,
煤灰,煤灰,lamp black,
淡紫紅,淡紫红,lavender Blush,
淡紫,淡紫,lavender,
淡紫紅,淡紫红,lavenderBlush,
草綠,草绿,lawn green,
草綠,草绿,lawngreen,
粉黃,粉黄,lemon Chiffon,
檸檬黃,柠檬黄,lemon yellow,
粉黃,粉黄,lemonChiffon,
淺黃綠,浅黄绿,light Chartreuse,
淺珊瑚紅,浅珊瑚红,light Coral,
淺桃紅,浅桃红,light Fuchsia,
淺灰,浅灰,light Gray,
淺灰藍,浅灰蓝,light Grayish blue,
淺灰綠,浅灰绿,light Grayish green,
淺灰粉紫,浅灰粉紫,light Grayish violet,
淺紫,浅紫,light Purple,
淺玫瑰紅,浅玫瑰红,light Rose,
淺橙紅,浅橙红,light Salmon,
淺海藻綠,浅海藻绿,light Sea green,
淺天藍,浅天蓝,light Sky blue,
淺青灰,浅青灰,light Slate Gray,
淺鋼青,浅钢青,light Steel blue,
淺藍綠,浅蓝绿,light Teal,
淺綠藍,浅绿蓝,light Turquoise,
淺藍,浅蓝,light blue,
淺褐,浅褐,light brown,
淺青綠,浅青绿,light cyan,
淺金黃,浅金黄,light goldenrod yellow,
淺綠,浅绿,light green,
淺綠藍,浅绿蓝,light greenish blue,
淺洋紅,浅洋红,light magenta,
淺橙,浅橙,light orange,
淺粉紅,浅粉红,light pink,
淺紅赭,浅红赭,light red,
淺紅褐,浅红褐,light redish brown,
淺紫藍,浅紫蓝,light violet,
淺黃綠,浅黄绿,light yellow green,
淺黃,浅黄,light yellow,
淺黃橙,浅黄橙,light yellowish orange,
淺珊瑚紅,浅珊瑚红,lightCoral,
淺灰,浅灰,lightGrey,
淺橙紅,浅橙红,lightSalmon,
淺海藻綠,浅海藻绿,lightSeagreen,
淺天藍,浅天蓝,lightSkyblue,
淺青灰,浅青灰,lightSlateGray,
淺鋼青,浅钢青,lightSteelblue,
淺藍,浅蓝,lightblue,
淺青綠,浅青绿,lightcyan,
淺金黃,浅金黄,lightgoldenrodyellow,
淺綠,浅绿,lightgreen,
淺粉紅,浅粉红,lightpink,
淺黃,浅黄,lightyellow,
淡紫,淡紫,lilac,
暗綠,暗绿,lime green,
亮綠,亮绿,lime,
暗綠,暗绿,limegreen,
洋紅,洋红,magenta,
玉米色,玉米色,maize,
錳藍,锰蓝,manganese blue,
水手藍,水手蓝,marine blue,
芬蘭馬克,芬兰马克,markka,
暗紅,暗红,maroon,
瑪斯黑,玛斯黑,mars black,
瑪斯紫,玛斯紫,mars violet,
